Category,N_Institutions,Total_Undergrads,Pell_Rate_Weighted,Loan_Rate_Weighted,Net_Price_Overall_Weighted,Net_Price_$0-30k_Weighted,Net_Price_$30-48k_Weighted,Net_Price_$48-75k_Weighted,Net_Price_$75-110k_Weighted,Net_Price_$110k+_Weighted
Most competitive,89,518402,0.17725227851056838,0.220097881964644,26803.02155631275,9245.04574790854,9885.219601835854,13620.000451244783,22927.71184904645,46378.21897644121
HC+,37,338710,0.1747749608809896,0.27185972808597325,21239.39731462247,10146.693452089074,10973.950628400928,15388.373881464178,22417.22254813679,30712.708038004213
HC,68,677746,0.21809625767551152,0.3156451171554609,22164.846161690053,12721.059422313849,13637.879237140978,17696.85173313235,24547.7727915586,32015.427855733637
VC+,55,406952,0.22152412962708135,0.3554838457606794,23210.721146474276,15619.687110519177,17207.231132910023,21185.752037095284,25666.040412628518,29505.48536795896
VC,213,1493809,0.2703553971258992,0.38796391924552004,19993.245336352007,13435.99029460486,14557.26385892197,17959.073731484918,22787.64713859215,26517.401538442948
C+,70,343767,0.359372257371999,0.3881999909822641,15193.149546058814,11109.823933070946,11824.141587179689,14695.812343825904,18514.691663248654,21383.428842791775
C,574,2894014,0.35706761636260226,0.4353078424983431,17923.242196105268,14002.945759020145,14771.487509248183,17443.97186754527,21126.64693718185,23530.42133268583
LC,151,581098,0.4267881197899099,0.411534901150264,13952.678973412876,11091.455334666713,11882.985210356544,14490.958994553775,17923.711960124267,20235.5135440594
NC,62,245181,0.37912409362878857,0.31695268108050784,13758.43887576933,11403.890515793355,12113.654751823196,14474.082987928354,17546.697362419392,19411.736945916447
Specialized programs,65,168078,0.273575690453242,0.32927289948714294,28519.453529024417,25287.439280441424,31670.205945989263,34807.68243003288,39504.8680901135,41843.94731209802
No category,4765,6406776,0.3438962836010339,0.201611499792619,10139.499510529924,8776.697509890675,9241.007332605275,11209.281383569883,13488.493942535219,14680.63680399296
